run_id,started_at_utc,scenario,repeat_index,worker,prompt_mode,scenario_mode,break_ok,agent_exit_code,final_status,detected_fault_class,elapsed_seconds,additional_observation_used,result_json,planner_summary,triage_summary
"d_02_20260310T170329Z","2026-03-10T17:03:29Z","d","2","llm","blind","auto","true","0","success","query_or_code_bug","24.147","false","observations/20260310T165510Z/runs/d_02_20260310T170329Z/20260310T170410Z_l.json","The application is failing to retrieve items because it's querying a non-existent table named 'itemz'. The `app/main.py` code snippet confirms this incorrect table name. The fix involves correcting 'itemz' to 'items' in the application code and then rebuilding the service to apply the change.","The strongest current-state hypothesis is query_or_code_bug. Older reverse-proxy errors remain in recent logs, so overall ambiguity is low and stale evidence should be treated cautiously."
"d_03_20260310T170424Z","2026-03-10T17:04:24Z","d","3","llm","blind","auto","true","0","success","query_or_code_bug","18.469","false","observations/20260310T165510Z/runs/d_03_20260310T170424Z/20260310T170500Z_l.json","The application is failing because it's querying a non-existent table 'itemz'. The `app/main.py` code needs to be updated to query the correct table name, 'items'. After the code change, the 'app' service must be rebuilt to apply the update.","The strongest current-state hypothesis is query_or_code_bug. Older reverse-proxy errors remain in recent logs, so overall ambiguity is low and stale evidence should be treated cautiously."
"e_01_20260310T170514Z","2026-03-10T17:05:14Z","e","1","llm","blind","auto","true","0","success","ambiguous_service_disagreement","11.266","true","observations/20260310T165510Z/runs/e_01_20260310T170514Z/20260310T170542Z_e.json","The application service is listening on port 9000, as configured by app/app.env, but Nginx is attempting to connect to it on port 8000, leading to connection refused errors. The plan is to update the Nginx configuration to use the correct upstream port, test the configuration, and then restart Nginx.","The strongest hypothesis is ambiguous_service_disagreement, but app_config_or_env_mismatch remains plausible. Overall ambiguity is high."
"e_02_20260310T170556Z","2026-03-10T17:05:56Z","e","2","llm","blind","auto","true","0","success","ambiguous_service_disagreement","23.659","true","observations/20260310T165510Z/runs/e_02_20260310T170556Z/20260310T170636Z_e.json","The application is configured to listen on port 9000 via `app/app.env` and its logs confirm it's running on this port. However, Nginx is configured to proxy requests to the application on port 8000, leading to connection refused errors. The plan is to align the application's listen port with Nginx's expected port by editing `app/app.env` and rebuilding the `app` service.","The strongest hypothesis is ambiguous_service_disagreement, but app_config_or_env_mismatch remains plausible. Overall ambiguity is high."
"e_03_20260310T170650Z","2026-03-10T17:06:50Z","e","3","llm","blind","auto","true","0","success","ambiguous_service_disagreement","38.965","true","observations/20260310T165510Z/runs/e_03_20260310T170650Z/20260310T170745Z_e.json","The application service is configured and listening on port 9000, as indicated by `app/app.env` and application logs. However, the Nginx configuration is attempting to connect to the application on port 8000, leading to upstream connection failures and 502 Bad Gateway errors. The plan is to update the Nginx configuration to correctly point to port 9000, then verify the Nginx configuration, and finally restart the Nginx service to apply the changes.","The strongest hypothesis is ambiguous_service_disagreement, but app_config_or_env_mismatch remains plausible. Overall ambiguity is high."
"f_01_20260310T170759Z","2026-03-10T17:07:59Z","f","1","llm","blind","auto","true","0","success","schema_drift","16.928","true","observations/20260310T165510Z/runs/f_01_20260310T170759Z/20260310T170833Z_f.json","The application is failing with a 'Unknown column 'details'' error when querying the database. The `app/main.py` file contains a SQL query that attempts to select this non-existent column. The plan is to remove 'details' from the SELECT statement in `app/main.py` and then rebuild the 'app' service to apply the code change.","The strongest current-state hypothesis is schema_drift. Older reverse-proxy errors remain in recent logs, so overall ambiguity is medium and stale evidence should be treated cautiously."
"f_02_20260310T170847Z","2026-03-10T17:08:47Z","f","2","llm","blind","auto","true","0","success","schema_drift","18.455","true","observations/20260310T165510Z/runs/f_02_20260310T170847Z/20260310T170922Z_f.json","The application is failing with a 'Unknown column 'details'' error when querying the database. The `app/main.py` file contains a SQL query that attempts to select this non-existent column. The plan is to remove the problematic column from the query and then rebuild the application service to apply the code change.","The strongest current-state hypothesis is schema_drift. Older reverse-proxy errors remain in recent logs, so overall ambiguity is medium and stale evidence should be treated cautiously."
"f_03_20260310T170936Z","2026-03-10T17:09:36Z","f","3","llm","blind","auto","true","0","success","schema_drift","19.411","true","observations/20260310T165510Z/runs/f_03_20260310T170936Z/20260310T171012Z_f.json","The application is failing with a 500 error due to an 'Unknown column' in a SQL query. The `app/main.py` file contains a SELECT statement that references a non-existent 'details' column. The plan is to remove this column from the query and then rebuild the 'app' service to apply the code change.","The strongest current-state hypothesis is schema_drift. Older reverse-proxy errors remain in recent logs, so overall ambiguity is medium and stale evidence should be treated cautiously."
"g_01_20260310T171026Z","2026-03-10T17:10:26Z","g","1","llm","blind","auto","true","0","success","healthcheck_only_failure","24.537","true","observations/20260310T165510Z/runs/g_01_20260310T171026Z/20260310T171107Z_g.json","The /healthz endpoint is failing due to a SQL query attempting to select from a non-existent table 'health_checks' in app/main.py. The main API /api/items is functioning correctly. The Nginx upstream connection errors appear to be historical or intermittent, as the current state shows /api/items returning 200 OK. The primary action is to correct the faulty SQL query in the health check function.","The strongest hypothesis is healthcheck_only_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"g_02_20260310T171121Z","2026-03-10T17:11:21Z","g","2","llm","blind","auto","true","0","success","healthcheck_only_failure","27.673","true","observations/20260310T165510Z/runs/g_02_20260310T171121Z/20260310T171206Z_g.json","The /healthz endpoint is failing due to a SQL query attempting to select from a non-existent table ('health_checks') and a non-existent column ('missing'). The main API endpoint (/api/items) is functioning correctly, indicating that the database connection and credentials are valid for other operations. The Nginx upstream error appears to be an older or transient issue, as the API is currently accessible. The most direct fix is to correct the SQL query in app/main.py for the health check.","The strongest hypothesis is healthcheck_only_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"g_03_20260310T171220Z","2026-03-10T17:12:20Z","g","3","llm","blind","auto","true","0","success","healthcheck_only_failure","25.521","true","observations/20260310T165510Z/runs/g_03_20260310T171220Z/20260310T171301Z_g.json","The primary issue is a faulty SQL query in the `/healthz` endpoint of the `app` service, causing a 'Table doesn't exist' error. The `/api/items` endpoint is working correctly, indicating the database connection and other API functionality are sound. The Nginx upstream error appears to be transient or historical, as the API is currently accessible. The plan focuses on correcting the health check query and rebuilding the application service.","The strongest hypothesis is healthcheck_only_failure, but reverse_proxy_or_upstream_mismatch remains plausible. Overall ambiguity is medium."
"h_01_20260310T171316Z","2026-03-10T17:13:16Z","h","1","llm","blind","auto","true","0","success","reverse_proxy_or_upstream_mismatch","9.926","false","observations/20260310T165510Z/runs/h_01_20260310T171316Z/20260310T171341Z_h.json","The Nginx configuration is attempting to resolve an upstream host named 'backend' which does not exist in the Docker Compose network. The application service is named 'app'. The Nginx configuration will be updated to correctly point to the 'app' service, and then Nginx will be restarted to apply the changes.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
"h_02_20260310T171355Z","2026-03-10T17:13:55Z","h","2","llm","blind","auto","true","1","failure","reverse_proxy_or_upstream_mismatch","44.353","false","observations/20260310T165510Z/runs/h_02_20260310T171355Z/20260310T171454Z_h.json","The nginx configuration is attempting to proxy requests to an upstream named 'backend', but the actual application service is named 'app' within the Docker Compose network. This leads to name resolution failures and 'no live upstreams' errors. The plan is to update the nginx configuration to correctly reference the 'app' service and then restart nginx to apply the changes.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
"h_03_20260310T171508Z","2026-03-10T17:15:08Z","h","3","llm","blind","auto","true","0","success","reverse_proxy_or_upstream_mismatch","13.452","false","observations/20260310T165510Z/runs/h_03_20260310T171508Z/20260310T171537Z_h.json","The Nginx configuration is attempting to route requests to an upstream named 'backend', but the actual Docker Compose service name for the application is 'app'. This mismatch prevents Nginx from resolving the upstream host, leading to 502 Bad Gateway errors. The plan is to correct the upstream server name in nginx.conf and then restart Nginx to apply the change.","The strongest hypothesis is reverse_proxy_or_upstream_mismatch with low ambiguity based on the currently visible evidence."
